0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2.4,1.6,1.4,1.4,1.3,1.3,1.1,1.2,1.1,1.2,1.2,0,0.21,0.21,0.4,0.9,0.9,1.8,1.8,1.9,1.9,0.9,1.7,1,1.6
3,2.3,2,2,1.7,1.7,1.5,1.5,1.4,1.5,1.5,0.8,0,1.3,0.4,1.7,1.7,1.9,1.9,2,2,1,1.4,0.9,2.4
3.7,3,2.8,2.8,2.4,2.4,2.8,2.8,2.7,2.8,2.8,2,2.2,0,0.16,0.65,0.65,1.5,1.5,1.6,1.6,2.1,2.5,2.2,1.4
3.6,2.9,2.6,2.6,2.3,2.3,2.6,2.6,2.5,2.6,2.6,1.8,2,0.16,0,0.5,0.5,1.4,1.4,1.4,1.4,1.9,2.4,2,1.2
3.9,3.2,2.9,2.9,2.6,2.6,2.9,2.9,2.8,2.9,2.9,2.1,2.3,0.36,2.2,0,0.68,1.7,1.7,1.8,1.8,2.3,2.7,2.3,1.5
3.9,3.2,2.9,2.9,2.6,2.6,2.9,2.9,2.8,2.9,2.9,2.1,2.3,0.36,2.2,0.068,0,1.7,1.7,1.8,1.8,2.3,2.7,2.3,1.5
4.8,4.1,3.8,3.8,3.6,3.6,3.4,3.4,3.3,3.4,3.4,3.6,3.1,3.3,3.1,2.2,2.2,0,0,0.007,1.8,0.55,2.1,0.7,2.4
4.7,4,3.7,3.7,3.4,3.4,3.3,3.3,3.2,3.3,3.3,3.5,3,3.2,3,2.1,2.1,0,0,0.007,1.8,0.55,2.1,0.7,2.4
4.8,4.1,4,4,3.5,3.5,3.4,3.4,3.3,3.4,3.4,2.6,3.1,3.3,3.1,2.2,2.2,0.1,0.1,0,1.8,0.6,2.1,0.7,2.4
3.5,2.8,2.6,2.6,2.3,2.3,2.2,2.2,2.5,2.2,2.2,1.4,2,2.1,1.9,0.45,0.45,1.3,1.3,1.4,0,1.9,2.4,2,1.2
4.2,3.5,3.4,3.4,2.9,2.9,2.8,2.8,2.7,2.8,2.8,2,2.6,2.7,2.6,1.7,1.7,1.1,1.1,1.2,1.2,0,1.5,0.12,1.8
4.2,3.4,3.1,3.1,2.8,2.8,2.6,2.6,2.5,2.6,2.6,1.8,2.4,2.5,2.5,1.7,1.7,1.1,1.1,1.2,1.2,1.7,0,1.8,1.8
